Class,index_A,index_B,normalized_index_A,normalized_index_B,largest_index,smallest_index,avg_index,atomic_weight_weighted_A+B,atomic_weight_A/B,atomic_weight_A-B,period_A,period_B,group_A,group_B,group_A-B,Mendeleev_number_A,Mendeleev_number_B,Mendeleev_number_A-B,valencee_total_A,valencee_total_B,valencee_total_A-B,valencee_total_A+B,valencee_total_weighted_A+B,valencee_total_weighted_norm_A+B,unpaired_electrons_A,unpaired_electrons_B,unpaired_electrons_A-B,unpaired_electrons_A+B,unpaired_electrons_weighted_A+B,unpaired_electrons_weighted_norm_A+B,Gilman_A,Gilman_B,Gilman_A-B,Gilman_A+B,Gilman_weighted_A+B,Gilman_weighted_norm_A+B,Z_eff_A,Z_eff_B,Z_eff_A-B,Z_eff_A/B,Z_eff_max,Z_eff_min,Z_eff_avg,Z_eff_weighted_norm_A+B,ionization_energy_A,ionization_energy_B,ionization_energy_A-B,ionization_energy_A/B,ionization_energy_max,ionization_energy_min,ionization_energy_avg,ionization_energy_weighted_norm_A+B,coordination_number_A,coordination_number_B,coordination_number_A-B,ratio_closest_A,ratio_closest_B,ratio_closest_max,ratio_closest_min,ratio_closest_avg,polyhedron_distortion_A,polyhedron_distortion_B,polyhedron_distortion_max,polyhedron_distortion_min,polyhedron_distortion_avg,CIF_radius_A,CIF_radius_B,CIF_radius_A/B,CIF_radius_A-B,CIF_radius_avg,CIF_radius_weighted_norm_A+B,Pauling_radius_CN12_A,Pauling_radius_CN12_B,Pauling_radius_CN12_A/B,Pauling_radius_CN12_A-B,Pauling_radius_CN12_avg,Pauling_radius_CN12_weighted_norm_A+B,Pauling_EN_A,Pauling_EN_B,Pauling_EN_A-B,Pauling_EN_A/B,Pauling_EN_max,Pauling_EN_min,Pauling_EN_avg,Pauling_EN_weighted_norm_A+B,Martynov_Batsanov_EN_A,Martynov_Batsanov_EN_B,Martynov_Batsanov_EN_A-B,Martynov_Batsanov_EN_A/B,Martynov_Batsanov_EN_max,Martynov_Batsanov_EN_min,Martynov_Batsanov_EN_avg,Martynov_Batsanov_EN_weighted_norm_A+B,melting_point_K_A,melting_point_K_B,melting_point_K_A-B,melting_point_K_A/B,melting_point_K_max,melting_point_K_min,melting_point_K_avg,melting_point_K_weighted_norm_A+B,density_A,density_B,density_A-B,density_A/B,density_max,density_min,density_avg,density_weighted_norm_A+B,specific_heat_A,specific_heat_B,specific_heat_A-B,specific_heat_A/B,specific_heat_max,specific_heat_min,specific_heat_avg,specific_heat_weighted_norm_A+B,cohesive_energy_A,cohesive_energy_B,cohesive_energy_A-B,cohesive_energy_A/B,cohesive_energy_max,cohesive_energy_min,cohesive_energy_avg,cohesive_energy_weighted_norm_A+B,bulk_modulus_A,bulk_modulus_B,bulk_modulus_A-B,bulk_modulus_A/B,bulk_modulus_max,bulk_modulus_min,bulk_modulus_avg,bulk_modulus_weighted_norm_A+B
2,1,1,0.5,0.5,1,1,1,50.942,4.241,38.93,4,2,5,14,-9,46,77,-31,5,4,1,9,5,2.5,3,2,1,5,3,1.5,3,4,-1,7,3,1.5,2.816,1.819,0.997,1.548,2.816,1.819,2.318,1.408,6.746,11.26,-4.514,0.599,11.26,6.746,9.003,3.373,14,3,11,0.571,1,1,0.571,0.786,0.866,1,1,0.866,0.933,1.307,0.76,1.72,0.547,1.034,0.654,1.338,0.914,1.464,0.424,1.126,0.669,1.63,2.55,-0.92,0.639,2.55,1.63,2.09,0.815,2.22,2.37,-0.15,0.937,2.37,2.22,2.295,1.11,2163.15,3640.15,-1477,0.594,3640.15,2163.15,2901.65,1081.575,6.11,2.25,3.86,2.716,6.11,2.25,4.18,3.055,0.49,0.71,-0.22,0.69,0.71,0.49,0.6,0.245,5.31,7.37,-2.06,0.72,7.37,5.31,6.34,2.655,158,443,-285,0.357,443,158,300.5,79
2,1,1,0.5,0.5,1,1,1,91.224,7.595,79.213,5,2,4,14,-10,44,77,-33,4,4,0,8,4,2,2,2,0,4,2,1,2,4,-2,6,2,1,3.401,1.819,1.582,1.869,3.401,1.819,2.61,1.7,6.634,11.26,-4.626,0.589,11.26,6.634,8.947,3.317,12,3,9,0.5,1,1,0.5,0.75,0.983,1,1,0.983,0.992,1.553,0.76,2.043,0.793,1.156,0.776,1.597,0.914,1.747,0.683,1.256,0.798,1.33,2.55,-1.22,0.522,2.55,1.33,1.94,0.665,1.7,2.37,-0.67,0.717,2.37,1.7,2.035,0.85,2125.15,3640.15,-1515,0.584,3640.15,2125.15,2882.65,1062.575,6.51,2.25,4.26,2.893,6.51,2.25,4.38,3.255,0.27,0.71,-0.44,0.38,0.71,0.27,0.49,0.135,6.25,7.37,-1.12,0.848,7.37,6.25,6.81,3.125,89.8,443,-353.2,0.203,443,89.8,266.4,44.9
2,1,1,0.5,0.5,1,1,1,40.078,1.25,8.012,4,3,2,16,-14,7,88,-81,2,6,-4,8,2,1,0,2,-2,2,0,0,2,6,-4,8,2,1,2.68,2.617,0.063,1.024,2.68,2.617,2.649,1.34,6.113,10.36,-4.247,0.59,10.36,6.113,8.237,3.057,12,2,10,0.833,0.5,0.833,0.5,0.667,1,0.999,1,0.999,0.999,1.716,1.074,1.598,0.642,1.395,0.858,1.97,1.27,1.551,0.7,1.62,0.985,1,2.58,-1.58,0.388,2.58,1,1.79,0.5,1.17,2.65,-1.48,0.442,2.65,1.17,1.91,0.585,1112.15,385.95,726.2,2.882,1112.15,385.95,749.05,556.075,1.55,2.07,-0.52,0.749,2.07,1.55,1.81,0.775,0.63,0.71,-0.08,0.887,0.71,0.63,0.67,0.315,1.84,2.85,-1.01,0.646,2.85,1.84,2.345,0.92,17.2,7.7,9.5,2.234,17.2,7.7,12.45,8.6
2,1,1,0.5,0.5,1,1,1,40.078,0.508,-38.893,4,4,2,16,-14,7,89,-82,2,16,-14,18,2,1,0,2,-2,2,0,0,2,6,-4,8,2,1,2.68,3.385,-0.705,0.792,3.385,2.68,3.032,1.34,6.113,9.752,-3.639,0.627,9.752,6.113,7.933,3.057,12,2,10,0.833,1,1,0.833,0.917,1,1,1,1,1,1.716,1.237,1.387,0.479,1.477,0.858,1.97,1.4,1.407,0.57,1.685,0.985,1,2.55,-1.55,0.392,2.55,1,1.775,0.5,1.17,2.54,-1.37,0.461,2.54,1.17,1.855,0.585,1112.15,490.15,622,2.269,1112.15,490.15,801.15,556.075,1.55,4.79,-3.24,0.324,4.79,1.55,3.17,0.775,0.63,0.32,0.31,1.969,0.63,0.32,0.475,0.315,1.84,2.46,-0.62,0.748,2.46,1.84,2.15,0.92,17.2,8.3,8.9,2.072,17.2,8.3,12.75,8.6
2,1,1,0.5,0.5,1,1,1,40.078,0.314,-87.522,4,5,2,16,-14,7,90,-83,2,16,-14,18,2,1,0,2,-2,2,0,0,2,6,-4,8,2,1,2.68,4.067,-1.387,0.659,4.067,2.68,3.374,1.34,6.113,9.01,-2.896,0.679,9.01,6.113,7.561,3.057,12,2,10,0.833,1,1,0.833,0.917,1,1,1,1,1,1.716,1.417,1.211,0.299,1.566,0.858,1.97,1.6,1.231,0.37,1.785,0.985,1,2.1,-1.1,0.476,2.1,1,1.55,0.5,1.17,2.38,-1.21,0.492,2.38,1.17,1.775,0.585,1112.15,722.65,389.5,1.539,1112.15,722.65,917.4,556.075,1.55,6.24,-4.69,0.248,6.24,1.55,3.895,0.775,0.63,0.2,0.43,3.15,0.63,0.2,0.415,0.315,1.84,2.19,-0.35,0.84,2.19,1.84,2.015,0.92,17.2,65,-47.8,0.265,65,17.2,41.1,8.6
2,1,1,0.5,0.5,1,1,1,24.305,0.758,-7.761,3,3,2,16,-14,68,88,-20,2,6,-4,8,2,1,0,2,-2,2,0,0,2,6,-4,8,2,1,2.248,2.617,-0.369,0.859,2.617,2.248,2.432,1.124,7.646,10.36,-2.714,0.738,10.36,7.646,9.003,3.823,12,2,10,0.417,0.5,0.5,0.417,0.458,0.995,0.999,0.999,0.995,0.997,1.587,1.074,1.478,0.513,1.33,0.794,1.598,1.27,1.258,0.328,1.434,0.799,1.31,2.58,-1.27,0.508,2.58,1.31,1.945,0.655,1.31,2.65,-1.34,0.494,2.65,1.31,1.98,0.655,922.15,385.95,536.2,2.389,922.15,385.95,654.05,461.075,1.74,2.07,-0.33,0.841,2.07,1.74,1.905,0.87,1.02,0.71,0.31,1.437,1.02,0.71,0.865,0.51,1.51,2.85,-1.34,0.53,2.85,1.51,2.18,0.755,35.6,7.7,27.9,4.623,35.6,7.7,21.65,17.8
2,1,1,0.5,0.5,1,1,1,24.305,0.308,-54.666,3,4,2,16,-14,68,89,-21,2,16,-14,18,2,1,0,2,-2,2,0,0,2,6,-4,8,2,1,2.248,3.385,-1.137,0.664,3.385,2.248,2.816,1.124,7.646,9.752,-2.106,0.784,9.752,7.646,8.699,3.823,12,2,10,0.417,1,1,0.417,0.708,0.995,1,1,0.995,0.998,1.587,1.237,1.283,0.35,1.412,0.794,1.598,1.4,1.141,0.198,1.499,0.799,1.31,2.55,-1.24,0.514,2.55,1.31,1.93,0.655,1.31,2.54,-1.23,0.516,2.54,1.31,1.925,0.655,922.15,490.15,432,1.881,922.15,490.15,706.15,461.075,1.74,4.79,-3.05,0.363,4.79,1.74,3.265,0.87,1.02,0.32,0.7,3.188,1.02,0.32,0.67,0.51,1.51,2.46,-0.95,0.614,2.46,1.51,1.985,0.755,35.6,8.3,27.3,4.289,35.6,8.3,21.95,17.8
2,1,1,0.5,0.5,1,1,1,54.938,1.713,22.872,4,3,7,16,-9,52,88,-36,7,6,1,13,7,3.5,5,2,3,7,5,2.5,5,6,-1,11,5,2.5,2.956,2.617,0.339,1.13,2.956,2.617,2.786,1.478,7.434,10.36,-2.926,0.718,10.36,7.434,8.897,3.717,12,2,10,0.083,0.5,0.5,0.083,0.292,0.961,0.999,0.999,0.961,0.98,1.164,1.074,1.084,0.09,1.119,0.582,1.306,1.27,1.028,0.036,1.288,0.653,1.55,2.58,-1.03,0.601,2.58,1.55,2.065,0.775,2.04,2.65,-0.61,0.77,2.65,2.04,2.345,1.02,1517.15,385.95,1131.2,3.931,1517.15,385.95,951.55,758.575,7.43,2.07,5.36,3.589,7.43,2.07,4.75,3.715,0.48,0.71,-0.23,0.676,0.71,0.48,0.595,0.24,2.92,2.85,0.07,1.025,2.92,2.85,2.885,1.46,92.6,7.7,84.9,12.026,92.6,7.7,50.15,46.3
2,1,1,0.5,0.5,1,1,1,54.938,0.696,-24.033,4,4,7,16,-9,52,89,-37,7,16,-9,23,7,3.5,5,2,3,7,5,2.5,5,6,-1,11,5,2.5,2.956,3.385,-0.429,0.873,3.385,2.956,3.17,1.478,7.434,9.752,-2.318,0.762,9.752,7.434,8.593,3.717,12,2,10,0.083,1,1,0.083,0.542,0.961,1,1,0.961,0.98,1.164,1.237,0.941,-0.073,1.2,0.582,1.306,1.4,0.933,-0.094,1.353,0.653,1.55,2.55,-1,0.608,2.55,1.55,2.05,0.775,2.04,2.54,-0.5,0.803,2.54,2.04,2.29,1.02,1517.15,490.15,1027,3.095,1517.15,490.15,1003.65,758.575,7.43,4.79,2.64,1.551,7.43,4.79,6.11,3.715,0.48,0.32,0.16,1.5,0.48,0.32,0.4,0.24,2.92,2.46,0.46,1.187,2.92,2.46,2.69,1.46,92.6,8.3,84.3,11.157,92.6,8.3,50.45,46.3
2,1,1,0.5,0.5,1,1,1,207.2,6.462,175.134,6,3,14,16,-2,81,88,-7,28,6,22,34,28,14,2,2,0,4,2,1,4,6,-2,10,4,2,4.426,2.617,1.809,1.691,4.426,2.617,3.522,2.213,7.417,10.36,-2.943,0.716,10.36,7.417,8.888,3.708,12,2,10,1,0.5,1,0.5,0.75,1,0.999,1,0.999,0.999,1.725,1.074,1.606,0.651,1.4,0.862,1.746,1.27,1.375,0.476,1.508,0.873,1.87,2.58,-0.71,0.725,2.58,1.87,2.225,0.935,1.92,2.65,-0.73,0.725,2.65,1.92,2.285,0.96,600.65,385.95,214.7,1.556,600.65,385.95,493.3,300.325,11.4,2.07,9.33,5.507,11.4,2.07,6.735,5.7,0.13,0.71,-0.58,0.183,0.71,0.13,0.42,0.065,2.03,2.85,-0.82,0.712,2.85,2.03,2.44,1.015,45.8,7.7,38.1,5.948,45.8,7.7,26.75,22.9
2,1,1,0.5,0.5,1,1,1,207.2,2.624,128.229,6,4,14,16,-2,81,89,-8,28,16,12,44,28,14,2,2,0,4,2,1,4,6,-2,10,4,2,4.426,3.385,1.041,1.308,4.426,3.385,3.906,2.213,7.417,9.752,-2.336,0.76,9.752,7.417,8.585,3.708,12,2,10,1,1,1,1,1,1,1,1,1,1,1.725,1.237,1.395,0.488,1.481,0.862,1.746,1.4,1.247,0.346,1.573,0.873,1.87,2.55,-0.68,0.733,2.55,1.87,2.21,0.935,1.92,2.54,-0.62,0.756,2.54,1.92,2.23,0.96,600.65,490.15,110.5,1.225,600.65,490.15,545.4,300.325,11.4,4.79,6.61,2.38,11.4,4.79,8.095,5.7,0.13,0.32,-0.19,0.406,0.32,0.13,0.225,0.065,2.03,2.46,-0.43,0.825,2.46,2.03,2.245,1.015,45.8,8.3,37.5,5.518,45.8,8.3,27.05,22.9
2,1,1,0.5,0.5,1,1,1,207.2,1.624,79.6,6,5,14,16,-2,81,90,-9,28,16,12,44,28,14,2,2,0,4,2,1,4,6,-2,10,4,2,4.426,4.067,0.359,1.088,4.426,4.067,4.246,2.213,7.417,9.01,-1.593,0.823,9.01,7.417,8.213,3.708,12,2,10,1,1,1,1,1,1,1,1,1,1,1.725,1.417,1.217,0.308,1.571,0.862,1.746,1.6,1.091,0.146,1.673,0.873,1.87,2.1,-0.23,0.89,2.1,1.87,1.985,0.935,1.92,2.38,-0.46,0.807,2.38,1.92,2.15,0.96,600.65,722.65,-122,0.831,722.65,600.65,661.65,300.325,11.4,6.24,5.16,1.827,11.4,6.24,8.82,5.7,0.13,0.2,-0.07,0.65,0.2,0.13,0.165,0.065,2.03,2.19,-0.16,0.927,2.19,2.03,2.11,1.015,45.8,65,-19.2,0.705,65,45.8,55.4,22.9
2,1,1,0.5,0.5,1,1,1,87.62,2.732,55.554,5,3,2,16,-14,8,88,-80,2,6,-4,8,2,1,0,2,-2,2,0,0,2,6,-4,8,2,1,3.234,2.617,0.617,1.236,3.234,2.617,2.926,1.617,5.695,10.36,-4.665,0.55,10.36,5.695,8.027,2.847,12,2,10,1,0.5,1,0.5,0.75,1,0.999,1,0.999,0.999,1.417,1.074,1.319,0.343,1.246,0.708,2.148,1.27,1.691,0.878,1.709,1.074,0.95,2.58,-1.63,0.368,2.58,0.95,1.765,0.475,1.13,2.65,-1.52,0.426,2.65,1.13,1.89,0.565,1042.15,385.95,656.2,2.7,1042.15,385.95,714.05,521.075,2.63,2.07,0.56,1.271,2.63,2.07,2.35,1.315,0.3,0.71,-0.41,0.423,0.71,0.3,0.505,0.15,1.72,2.85,-1.13,0.604,2.85,1.72,2.285,0.86,12,7.7,4.3,1.558,12,7.7,9.85,6
2,1,1,0.5,0.5,1,1,1,118.71,0.93,-8.89,5,5,14,16,-2,80,90,-10,14,16,-2,30,14,7,2,2,0,4,2,1,4,6,-2,10,4,2,3.672,4.067,-0.395,0.903,4.067,3.672,3.87,1.836,7.344,9.01,-1.666,0.815,9.01,7.344,8.177,3.672,6,2,4,0.667,1,1,0.667,0.833,0.949,1,1,0.949,0.974,1.511,1.417,1.066,0.094,1.464,0.756,1.62,1.6,1.012,0.02,1.61,0.81,1.96,2.1,-0.14,0.933,2.1,1.96,2.03,0.98,1.88,2.38,-0.5,0.79,2.38,1.88,2.13,0.94,505.15,722.65,-217.5,0.699,722.65,505.15,613.9,252.575,7.31,6.24,1.07,1.171,7.31,6.24,6.775,3.655,0.227,0.2,0.027,1.135,0.227,0.2,0.214,0.114,3.14,2.19,0.95,1.434,3.14,2.19,2.665,1.57,58.2,65,-6.8,0.895,65,58.2,61.6,29.1
2,1,1,0.5,0.5,1,1,1,87.62,0.687,-39.98,5,5,2,16,-14,8,90,-82,2,16,-14,18,2,1,0,2,-2,2,0,0,2,6,-4,8,2,1,3.234,4.067,-0.833,0.795,4.067,3.234,3.65,1.617,5.695,9.01,-3.315,0.632,9.01,5.695,7.352,2.847,12,2,10,1,1,1,1,1,1,1,1,1,1,1.417,1.417,1,0,1.417,0.708,2.148,1.6,1.342,0.548,1.874,1.074,0.95,2.1,-1.15,0.452,2.1,0.95,1.525,0.475,1.13,2.38,-1.25,0.475,2.38,1.13,1.755,0.565,1042.15,722.65,319.5,1.442,1042.15,722.65,882.4,521.075,2.63,6.24,-3.61,0.421,6.24,2.63,4.435,1.315,0.3,0.2,0.1,1.5,0.3,0.2,0.25,0.15,1.72,2.19,-0.47,0.785,2.19,1.72,1.955,0.86,12,65,-53,0.185,65,12,38.5,6
3,1,1,0.5,0.5,1,1,1,26.982,0.36,-47.94,3,4,13,15,-2,73,84,-11,3,15,-12,18,3,1.5,1,3,-2,4,1,0.5,3,5,-2,8,3,1.5,1.989,3.396,-1.407,0.586,3.396,1.989,2.692,0.994,5.986,9.789,-3.803,0.612,9.789,5.986,7.887,2.993,12,6,6,1,0.5,1,0.5,0.75,1,0.807,1,0.807,0.904,1.31,1.247,1.051,0.063,1.279,0.655,1.429,1.39,1.028,0.039,1.41,0.714,1.61,2.18,-0.57,0.739,2.18,1.61,1.895,0.805,1.64,2.27,-0.63,0.722,2.27,1.64,1.955,0.82,933.15,1090.15,-157,0.856,1090.15,933.15,1011.65,466.575,2.7,5.73,-3.03,0.471,5.73,2.7,4.215,1.35,0.9,0.33,0.57,2.727,0.9,0.33,0.615,0.45,3.39,2.96,0.43,1.145,3.39,2.96,3.175,1.695,75.2,38.3,36.9,1.963,75.2,38.3,56.75,37.6
3,1,1,0.5,0.5,1,1,1,26.982,0.871,-3.992,3,3,13,15,-2,73,83,-10,3,5,-2,8,3,1.5,1,3,-2,4,1,0.5,3,5,-2,8,3,1.5,1.989,3.412,-1.423,0.583,3.412,1.989,2.7,0.994,5.986,10.487,-4.501,0.571,10.487,5.986,8.236,2.993,12,3,9,1,0.333,1,0.333,0.667,1,0.998,1,0.998,0.999,1.31,1.123,1.167,0.187,1.216,0.655,1.429,1.28,1.116,0.149,1.354,0.714,1.61,2.19,-0.58,0.735,2.19,1.61,1.9,0.805,1.64,2.32,-0.68,0.707,2.32,1.64,1.98,0.82,933.15,317.25,615.9,2.941,933.15,317.25,625.2,466.575,2.7,1.82,0.88,1.484,2.7,1.82,2.26,1.35,0.9,0.77,0.13,1.169,0.9,0.77,0.835,0.45,3.39,3.43,-0.04,0.988,3.43,3.39,3.41,1.695,75.2,30.4,44.8,2.474,75.2,30.4,52.8,37.6
3,1,1,0.5,0.5,1,1,1,69.723,0.931,-5.199,4,4,13,15,-2,74,84,-10,13,15,-2,28,13,6.5,1,3,-2,4,1,0.5,3,5,-2,8,3,1.5,2.655,3.396,-0.741,0.782,3.396,2.655,3.026,1.328,5.999,9.789,-3.789,0.613,9.789,5.999,7.894,3,7,6,1,0.143,0.5,0.5,0.143,0.321,0.897,0.807,0.897,0.807,0.852,1.243,1.247,0.997,-0.004,1.245,0.622,1.408,1.39,1.013,0.018,1.399,0.704,1.81,2.18,-0.37,0.83,2.18,1.81,1.995,0.905,1.7,2.27,-0.57,0.749,2.27,1.7,1.985,0.85,302.95,1090.15,-787.2,0.278,1090.15,302.95,696.55,151.475,5.9,5.73,0.17,1.03,5.9,5.73,5.815,2.95,0.37,0.33,0.04,1.121,0.37,0.33,0.35,0.185,2.81,2.96,-0.15,0.949,2.96,2.81,2.885,1.405,56.9,38.3,18.6,1.486,56.9,38.3,47.6,28.45
