Class,A_index,B_index,A_Atomicweight,B_Atomicweight,molar_mass,A/B_AtomicWeight,A_PeriodNumber,B_PeriodNumber,A_Mendeleevnumber,B_Mendeleevnumber,A-B_Mendeleevnumber,A_Zeff,B_Zeff,A-B_Zeff,A+B_Zeff,Largest_Zeff,Lowest_Zeff,Avg_Zeff,"A_Pauling,R(CN12)","B_Pauling,R(CN12)","A/BPauling,R(CN12)","A-BPauling,R(CN12)","Avg_Pauling,R(CN12)",A_MartynovBatsanovEN,B_MartynovBatsanovEN,A-B_MartynovBatsanovEN,A/B_MartynovBatsanovEN,Largest_MartynovBatsanovEN,Lowest_MartynovBatsanovEN,Avg_MartynovBatsanovEN,A_Density,B_Density,A-B_Density,A/B_Density,Largest_Density,Lowest_Density,Avg_Density,A_Cohesiveenergy,B_Cohesiveenergy,A-B_Cohesiveenergy,A/B_Cohesiveenergy,Largest_Cohesiveenergy,Lowest_Cohesiveenergy,Avg_Cohesiveenergy,A_shortest_dist_count,B_shortest_dist_count,A_avg_shortest_dist_count,B_avg_shortest_dist_count,A_shortest_tol_dist_count,B_shortest_tol_dist_count,A_avg_shortest_dist_within_tol_count,B_avg_shortest_dist_within_tol_count,A_second_by_first_shortest_dist,B_second_by_first_shortest_dist,A_avg_second_by_first_shortest_dist,B_avg_second_by_first_shortest_dist,A_second_shortest_dist_count,B_second_shortest_dist_count,A_avg_second_shortest_dist_count,B_avg_second_shortest_dist_count,A_homoatomic_dist_by_shortest_dist,B_homoatomic_dist_by_shortest_dist,A_avg_homoatomic_dist_by_shortest_dist,B_avg_homoatomic_dist_by_shortest_dist,A_count_at_A_shortest_dist,A_count_at_B_shortest_dist,A_avg_count_at_A_shortest_dist,A_avg_count_at_B_shortest_dist,B_count_at_A_shortest_dist,B_count_at_B_shortest_dist,B_avg_count_at_A_shortest_dist,B_avg_count_at_B_shortest_dist,A_lowest_wyckoff_label,B_lowest_wyckoff_label,identical_lowest_wyckoff_count,A_sites_total,B_sites_total,A_multiplicity_total,B_multiplicity_total,distAA,distBB,distAB,Asize,Bsize,Asize_by_Bsize,distAA_by2_byAsize,distBB_by2_byBsize,distAB_by2_byAsizebyBsize,Asize_ref,Bsize_ref,percent_diff_A_by_100,percent_diff_B_by_100,distAA_minus_ref_diff,distBB_minus_ref_diff,distAB_minus_ref_diff,refined_packing_eff,R_factor
Cu3Au,63,45,157.25,106.42,263.67,1.477635783,6,5,27,62,-35,4.034,3.101,0.933,7.135,4.034,3.101,3.5675,1.795,1.373,1.307356154,0.422,1.584,1.1,2.08,-0.98,0.528846154,2.08,1.1,1.59,7.9,12,-4.1,0.658333333,12,7.9,9.95,4.14,3.89,0.25,1.064267352,4.14,3.89,4.015,12,12,12,12,12,12,12,12,1.4118,1.4118,1.4118,1.4118,6,6,6,6,1.4125,0.9988,1.4125,0.9988,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.082,2.8864,2.8864,1.7454,1.3768,1.2677,1.1694,1.0482,0.9245,1.4432,1.4432,-0.1731,0.0482,0.2929,0,0,0.74047,0.0323
Cu3Au,12,27,26.981539,58.6934,85.674939,0.459703118,3,4,73,61,12,1.989,2.996,-1.007,4.985,2.996,1.989,2.4925,1.429,1.244,1.148713826,0.185,1.3365,1.64,1.76,-0.12,0.931818182,1.76,1.64,1.7,2.7,8.9,-6.2,0.303370787,8.9,2.7,5.8,3.39,4.44,-1.05,0.763513514,4.44,3.39,3.915,12,12,12,12,12,12,12,12,1.4167,1.4167,1.4167,1.4167,6,6,6,6,1.0009,1.4155,1.0009,1.4155,8,12,8,12,4,0,4,0,3,1,1,1,1,3,1,2.5222,3.567,2.5222,1.2515,1.4319,0.874,1.0077,1.2456,0.94,1.2611,1.2611,0.0077,-0.1193,0,0.2929,0,0.74048,0.0143
Cu3Au,71,77,178.49,195.084,373.574,0.914939206,6,6,45,63,-18,4.298,4.883,-0.585,9.181,4.883,4.298,4.5905,1.585,1.385,1.144404332,0.2,1.485,1.73,1.91,-0.18,0.905759162,1.91,1.73,1.82,13.3,21.4,-8.1,0.621495327,21.4,13.3,17.35,6.44,5.84,0.6,1.102739726,6.44,5.84,6.14,6,6,6,6,12,12,12,12,1.0036,1.0036,1.0036,1.0036,6,6,6,6,1.4167,1.0018,1.4167,1.0018,0,2,0,2,6,4,6,4,1,3,1,1,1,1,3,3.981,2.815,2.815,1.5679,1.3843,1.1326,1.2695,1.0168,0.9535,1.4075,1.4075,-0.1023,0.0168,0.2929,0,0,0.74048,0.0107
Cu3Au,49,45,118.71,106.42,225.13,1.115485811,5,5,80,62,18,3.672,3.101,0.571,6.773,3.672,3.101,3.3865,1.62,1.373,1.179898034,0.247,1.4965,1.88,2.08,-0.2,0.903846154,2.08,1.88,1.98,7.31,12,-4.69,0.609166667,12,7.31,9.655,3.14,3.89,-0.75,0.807197943,3.89,3.14,3.515,12,12,12,12,12,12,12,12,1.4128,1.4128,1.4128,1.4128,6,6,6,6,1,1.4142,1,1.4142,8,12,8,12,4,0,4,0,3,1,1,1,1,3,1,2.81,3.9739,2.81,1.3768,1.4899,0.9241,1.0205,1.3336,0.9802,1.405,1.405,0.0205,-0.057,0,0.2929,0,0.74048,0.0037
Cu3Au,44,24,102.9055,54.93805,157.84355,1.873118904,5,4,59,52,7,3.701,2.956,0.745,6.657,3.701,2.956,3.3285,1.342,1.306,1.027565084,0.036,1.324,1.99,2.04,-0.05,0.975490196,2.04,1.99,2.015,12.4,7.43,4.97,1.668909825,12.4,7.43,9.915,5.75,2.92,2.83,1.969178082,5.75,2.92,4.335,12,12,12,12,12,12,12,12,1.4148,1.4148,1.4148,1.4148,6,6,6,6,0.9991,1.413,0.9991,1.413,8,12,8,12,4,0,4,0,3,1,1,1,1,3,1,2.6976,3.815,2.6976,1.202,1.3444,0.8941,1.1221,1.4188,1.0594,1.3488,1.3488,0.1221,0.0033,0,0.2929,0,0.74048,0.0149
Cu3Au,30,25,69.723,55.847,125.57,1.248464555,4,4,74,55,19,2.655,3.0478,-0.3928,5.7028,3.0478,2.655,2.8514,1.408,1.26,1.117460317,0.148,1.334,1.7,1.67,0.03,1.017964072,1.7,1.67,1.685,5.9,7.86,-1.96,0.750636132,7.86,5.9,6.88,2.81,4.28,-1.47,0.656542056,4.28,2.81,3.545,12,12,12,12,12,12,12,12,1.4122,1.4122,1.4122,1.4122,6,6,6,6,0.9988,1.4126,0.9988,1.4126,8,12,8,12,4,0,4,0,3,1,1,1,1,3,1,2.617,3.701,2.617,1.2422,1.2796,0.9708,1.0534,1.4462,1.0378,1.3085,1.3085,0.0534,0.0226,0,0.2929,0,0.74048,0.0034
Cu3Au,66,48,164.93032,114.818,279.74832,1.436450034,6,5,33,75,-42,3.994,3.259,0.735,7.253,3.994,3.259,3.6265,1.761,1.66,1.060843373,0.101,1.7105,1.2,1.63,-0.43,0.736196319,1.63,1.2,1.415,8.8,7.31,1.49,1.203830369,8.8,7.31,8.055,3.14,2.52,0.62,1.246031746,3.14,2.52,2.83,12,12,12,12,12,12,12,12,1.4149,1.4149,1.4149,1.4149,6,6,6,6,1.4159,1.0012,1.4159,1.0012,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.5734,3.2339,3.2339,1.7086,1.6085,1.0622,1.3384,1.0052,0.9749,1.6169,1.6169,-0.0536,0.0052,0.2929,0,0,0.74048,0.0029
Cu3Au,21,26,47.867,58.9332,106.8002,0.812224688,4,4,43,58,-15,2.833,3.046,-0.213,5.879,3.046,2.833,2.9395,1.467,1.252,1.17172524,0.215,1.3595,1.86,1.72,0.14,1.081395349,1.86,1.72,1.79,4.54,8.9,-4.36,0.51011236,8.9,4.54,6.72,4.85,4.39,0.46,1.104783599,4.85,4.39,4.62,12,12,12,12,12,12,12,12,1.4157,1.4157,1.4157,1.4157,6,6,6,6,1.4154,1.0008,1.4154,1.0008,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,3.6092,2.5521,2.5521,1.4038,1.2492,1.1238,1.2855,1.0215,0.962,1.276,1.276,-0.091,0.0215,0.2929,0,0,0.74048,0.0087
Cr3Si,30,22,69.723,50.9415,120.6645,1.368687612,4,4,74,46,28,2.655,2.816,-0.161,5.471,2.816,2.655,2.7355,1.408,1.338,1.052316891,0.07,1.373,1.7,2.22,-0.52,0.765765766,2.22,1.7,1.96,5.9,6.11,-0.21,0.965630115,6.11,5.9,6.005,2.81,5.31,-2.5,0.529190207,5.31,2.81,4.06,2,12,2,12,2,12,2,12,1.1162,1.5502,1.1162,1.5502,4,8,4,8,0.9994,1.5508,0.9994,1.5508,2,12,2,12,0,0,0,0,6,2,1,1,1,6,2,2.4085,4.1716,2.6928,1.3117,1.2796,1.0251,0.9181,1.63,1.0392,1.2042,1.4885,-0.0819,0.1633,0,0.2864,0,0.63991,0.0334
Cu3Au,38,45,88.90584,106.42,195.32584,0.835424168,5,5,12,62,-50,3.379,3.101,0.278,6.48,3.379,3.101,3.24,1.797,1.373,1.308812819,0.424,1.585,1.41,2.08,-0.67,0.677884615,2.08,1.41,1.745,4.47,12,-7.53,0.3725,12,4.47,8.235,4.37,3.89,0.48,1.123393316,4.37,3.89,4.13,12,12,12,12,12,12,12,12,1.4146,1.4146,1.4146,1.4146,6,6,6,6,1.4146,1.0003,1.4146,1.0003,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.06,2.8708,2.8708,1.6813,1.3768,1.2212,1.2074,1.0426,0.9388,1.4354,1.4354,-0.1462,0.0426,0.2929,0,0,0.74048,0.0232
