Class,A_index,B_index,A_Atomicweight,B_Atomicweight,molar_mass,A/B_AtomicWeight,A_PeriodNumber,B_PeriodNumber,A_Mendeleevnumber,B_Mendeleevnumber,A-B_Mendeleevnumber,A_Zeff,B_Zeff,A-B_Zeff,A+B_Zeff,Largest_Zeff,Lowest_Zeff,Avg_Zeff,"A_Pauling,R(CN12)","B_Pauling,R(CN12)","A/BPauling,R(CN12)","A-BPauling,R(CN12)","Avg_Pauling,R(CN12)",A_MartynovBatsanovEN,B_MartynovBatsanovEN,A-B_MartynovBatsanovEN,A/B_MartynovBatsanovEN,Largest_MartynovBatsanovEN,Lowest_MartynovBatsanovEN,Avg_MartynovBatsanovEN,A_Density,B_Density,A-B_Density,A/B_Density,Largest_Density,Lowest_Density,Avg_Density,A_Cohesiveenergy,B_Cohesiveenergy,A-B_Cohesiveenergy,A/B_Cohesiveenergy,Largest_Cohesiveenergy,Lowest_Cohesiveenergy,Avg_Cohesiveenergy,A_shortest_dist_count,B_shortest_dist_count,A_avg_shortest_dist_count,B_avg_shortest_dist_count,A_shortest_tol_dist_count,B_shortest_tol_dist_count,A_avg_shortest_dist_within_tol_count,B_avg_shortest_dist_within_tol_count,A_second_by_first_shortest_dist,B_second_by_first_shortest_dist,A_avg_second_by_first_shortest_dist,B_avg_second_by_first_shortest_dist,A_second_shortest_dist_count,B_second_shortest_dist_count,A_avg_second_shortest_dist_count,B_avg_second_shortest_dist_count,A_homoatomic_dist_by_shortest_dist,B_homoatomic_dist_by_shortest_dist,A_avg_homoatomic_dist_by_shortest_dist,B_avg_homoatomic_dist_by_shortest_dist,A_count_at_A_shortest_dist,A_count_at_B_shortest_dist,A_avg_count_at_A_shortest_dist,A_avg_count_at_B_shortest_dist,B_count_at_A_shortest_dist,B_count_at_B_shortest_dist,B_avg_count_at_A_shortest_dist,B_avg_count_at_B_shortest_dist,A_lowest_wyckoff_label,B_lowest_wyckoff_label,identical_lowest_wyckoff_count,A_sites_total,B_sites_total,A_multiplicity_total,B_multiplicity_total,distAA,distBB,distAB,Asize,Bsize,Asize_by_Bsize,distAA_by2_byAsize,distBB_by2_byBsize,distAB_by2_byAsizebyBsize,Asize_ref,Bsize_ref,percent_diff_A_by_100,percent_diff_B_by_100,distAA_minus_ref_diff,distBB_minus_ref_diff,distAB_minus_ref_diff,refined_packing_eff,R_factor
Mg3Cd,30,24,69.723,54.93805,124.66105,1.2691204,4,4,74,52,22,2.655,2.956,-0.301,5.611,2.956,2.655,2.8055,1.408,1.306,1.078101072,0.102,1.357,1.7,2.04,-0.34,0.833333333,2.04,1.7,1.87,5.9,7.43,-1.53,0.794078062,7.43,5.9,6.665,2.81,2.92,-0.11,0.962328767,2.92,2.81,2.865,10,12,10,12,20,24,20,24,1.0075,1.0075,1.0075,1.0075,10,12,10,12,0.9998,1.4199,0.9998,1.4199,8,12,8,12,2,0,2,0,6,2,1,1,1,6,2,2.6794,3.8052,2.6794,1.202,1.2796,0.9394,1.1146,1.4869,1.0797,1.3397,1.3397,0.1146,0.047,0,0.2958,0,0.73125,0.0153
Fe3C,75,64,190.23,158.92534,349.15534,1.196977147,6,6,57,29,28,5.648,3.976,1.672,9.624,5.648,3.976,4.812,1.35,1.773,0.76142132,-0.423,1.5615,1.85,1.2,0.65,1.541666667,1.85,1.2,1.525,22.6,8.23,14.37,2.746051033,22.6,8.23,15.415,8.17,4.05,4.12,2.017283951,8.17,4.05,6.11,1,1,1,1,2,6,2,6,1.0216,1.0036,1.0287,1.0036,1,2,1,2,1.2666,1.5889,1.2258,1.5889,0,1,0,1,1,0,1,0,4,4,2,2,1,12,4,3.3058,4.4173,2.7825,1.6609,1.3106,1.2673,0.9952,1.6852,0.9364,1.6529,1.1296,-0.0048,-0.1381,0,0.4886,0,0.59264,0.0191
Cu3Au,25,45,55.847,106.42,162.267,0.524779177,4,5,55,62,-7,3.0478,3.101,-0.0532,6.1488,3.101,3.0478,3.0744,1.26,1.373,0.917698471,-0.113,1.3165,1.67,2.08,-0.41,0.802884615,2.08,1.67,1.875,7.86,12,-4.14,0.655,12,7.86,9.93,4.28,3.89,0.39,1.100257069,4.28,3.89,4.085,12,12,12,12,12,12,12,12,1.4154,1.4154,1.4154,1.4154,6,6,6,6,1.4154,1.0009,1.4154,1.0009,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,3.85,2.7224,2.7224,1.2422,1.3768,0.9022,1.5497,0.9886,1.0395,1.3612,1.3612,0.0958,-0.0114,0.2929,0,0,0.74048,0.0093
TiAl3,22,77,50.9415,195.084,246.0255,0.261125977,4,6,46,63,-17,2.816,4.883,-2.067,7.699,4.883,2.816,3.8495,1.338,1.385,0.966064982,-0.047,1.3615,2.22,1.91,0.31,1.162303665,2.22,1.91,2.065,6.11,21.4,-15.29,0.285514019,21.4,6.11,13.755,5.31,5.84,-0.53,0.909246575,5.84,5.31,5.575,4,4,4,4,12,12,12,12,1.0111,1.0111,1.0111,1.0111,8,8,8,8,1.4166,1.0017,1.4166,1.0056,0,0,0,2,4,4,4,2,2,2,2,1,2,2,6,3.839,2.7146,2.7146,1.3117,1.3843,0.9476,1.4634,0.9805,1.0069,1.3573,1.3573,0.0348,-0.0195,0.2929,0,0,0.72927,0.0016
Cu3Au,12,58,26.981539,140.90765,167.889189,0.191483848,3,6,73,17,56,1.989,3.8,-1.811,5.789,3.8,1.989,2.8945,1.429,1.824,0.783442982,-0.395,1.6265,1.64,1.1,0.54,1.490909091,1.64,1.1,1.37,2.7,6.77,-4.07,0.398818316,6.77,2.7,4.735,3.39,3.7,-0.31,0.916216216,3.7,3.39,3.545,12,12,12,12,12,12,12,12,1.4143,1.4143,1.4143,1.4143,6,6,6,6,1.0001,1.4143,1.0001,1.4143,8,12,8,12,4,0,4,0,3,1,1,1,1,3,1,3.5002,4.95,3.5002,1.6334,1.4319,1.1407,1.0714,1.7285,1.1419,1.7501,1.7501,0.0714,0.2222,0,0.2929,0,0.74048,0.0545
Cu3Au,63,45,157.25,106.42,263.67,1.477635783,6,5,27,62,-35,4.034,3.101,0.933,7.135,4.034,3.101,3.5675,1.795,1.373,1.307356154,0.422,1.584,1.1,2.08,-0.98,0.528846154,2.08,1.1,1.59,7.9,12,-4.1,0.658333333,12,7.9,9.95,4.14,3.89,0.25,1.064267352,4.14,3.89,4.015,12,12,12,12,12,12,12,12,1.4152,1.4152,1.4152,1.4152,6,6,6,6,1.415,1.0006,1.415,1.0006,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.0895,2.8917,2.8917,1.7454,1.3768,1.2677,1.1715,1.0502,0.9262,1.4458,1.4459,-0.1716,0.0502,0.2929,0,0,0.74048,0.032
Mg3Cd,49,21,118.71,47.867,166.577,2.479996657,5,4,80,43,37,3.672,2.833,0.839,6.505,3.672,2.833,3.2525,1.62,1.467,1.104294479,0.153,1.5435,1.88,1.86,0.02,1.010752688,1.88,1.86,1.87,7.31,4.54,2.77,1.610132159,7.31,4.54,5.925,3.14,4.85,-1.71,0.64742268,4.85,3.14,3.995,6,6,6,6,12,12,12,12,1.0068,1.0102,1.0068,1.0102,2,6,2,6,1.001,1.4212,1.001,1.4212,4,6,4,6,2,0,2,0,6,2,1,1,1,6,2,2.9329,4.1641,2.929,1.4038,1.4899,0.9422,1.0446,1.3974,1.0122,1.4665,1.4625,0.0446,-0.0184,0,0.2976,0,0.73039,0.0023
Cu3Au,57,45,140.115,106.42,246.535,1.316622815,6,5,15,62,-47,3.774,3.101,0.673,6.875,3.774,3.101,3.4375,1.818,1.373,1.324107793,0.445,1.5955,1.1,2.08,-0.98,0.528846154,2.08,1.1,1.59,6.66,12,-5.34,0.555,12,6.66,9.33,4.32,3.89,0.43,1.110539846,4.32,3.89,4.105,12,12,12,12,12,12,12,12,1.411,1.411,1.411,1.411,6,6,6,6,1.4123,0.9987,1.4123,0.9987,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.124,2.9161,2.9161,1.7238,1.3768,1.252,1.1962,1.059,0.9405,1.458,1.458,-0.1542,0.059,0.2929,0,0,0.74047,0.0272
Cu3Au,59,45,144.242,106.42,250.662,1.35540312,6,5,19,62,-43,3.822,3.101,0.721,6.923,3.822,3.101,3.4615,1.818,1.373,1.324107793,0.445,1.5955,1.2,2.08,-0.88,0.576923077,2.08,1.2,1.64,7,12,-5,0.583333333,12,7,9.5,3.4,3.89,-0.49,0.87403599,3.89,3.4,3.645,12,12,12,12,12,12,12,12,1.4158,1.4158,1.4158,1.4158,6,6,6,6,1.4158,1.0011,1.4158,1.0011,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.12,2.9133,2.9133,1.6571,1.3768,1.2036,1.2431,1.058,0.9602,1.4566,1.4566,-0.121,0.058,0.2929,0,0,0.74047,0.018
Cr3Si,50,22,121.76,50.9415,172.7015,2.390192672,5,4,85,46,39,3.984,2.816,1.168,6.8,3.984,2.816,3.4,1.59,1.338,1.188340807,0.252,1.464,2.14,2.22,-0.08,0.963963964,2.22,2.14,2.18,6.69,6.11,0.58,1.09492635,6.69,6.11,6.4,2.75,5.31,-2.56,0.517890772,5.31,2.75,4.03,2,12,2,12,2,12,2,12,1.1179,1.5454,1.1179,1.5454,4,8,4,8,0.9984,1.5469,0.9984,1.5469,2,12,2,12,0,0,0,0,6,2,1,1,1,6,2,2.456,4.2539,2.7459,1.3117,1.4545,0.9018,0.9362,1.4623,0.9927,1.228,1.5179,-0.0638,0.0436,0,0.2864,0,0.63991,0.006
Cu3Au,49,45,118.71,106.42,225.13,1.115485811,5,5,80,62,18,3.672,3.101,0.571,6.773,3.672,3.101,3.3865,1.62,1.373,1.179898034,0.247,1.4965,1.88,2.08,-0.2,0.903846154,2.08,1.88,1.98,7.31,12,-4.69,0.609166667,12,7.31,9.655,3.14,3.89,-0.75,0.807197943,3.89,3.14,3.515,12,12,12,12,12,12,12,12,1.4164,1.4164,1.4164,1.4164,6,6,6,6,1.0005,1.415,1.0005,1.415,8,12,8,12,4,0,4,0,3,1,1,1,1,3,1,2.8114,3.976,2.8114,1.3768,1.4899,0.9241,1.021,1.3343,0.9807,1.4057,1.4057,0.021,-0.0565,0,0.2929,0,0.74048,0.0036
Mg3Cd,49,21,118.71,47.867,166.577,2.479996657,5,4,80,43,37,3.672,2.833,0.839,6.505,3.672,2.833,3.2525,1.62,1.467,1.104294479,0.153,1.5435,1.88,1.86,0.02,1.010752688,1.88,1.86,1.87,7.31,4.54,2.77,1.610132159,7.31,4.54,5.925,3.14,4.85,-1.71,0.64742268,4.85,3.14,3.995,10,12,10,12,20,24,20,24,1.0102,1.0102,1.0102,1.0102,10,12,10,12,1,1.4215,1,1.4215,8,12,8,12,2,0,2,0,6,2,1,1,1,6,2,2.93,4.1649,2.93,1.4038,1.4899,0.9422,1.0436,1.3977,1.0125,1.465,1.465,0.0436,-0.0167,0,0.2965,0,0.72929,0.0022
Cu3Au,31,27,72.63,58.6934,131.3234,1.237447481,4,4,79,61,18,3.046,2.996,0.05,6.042,3.046,2.996,3.021,1.366,1.244,1.09807074,0.122,1.305,1.99,1.76,0.23,1.130681818,1.99,1.76,1.875,5.32,8.9,-3.58,0.597752809,8.9,5.32,7.11,3.85,4.44,-0.59,0.867117117,4.44,3.85,4.145,12,12,12,12,12,12,12,12,1.4167,1.4167,1.4167,1.4167,6,6,6,6,1.0009,1.4155,1.0009,1.4155,8,12,8,12,4,0,4,0,3,1,1,1,1,3,1,2.5222,3.567,2.5222,1.2515,1.2224,1.0238,1.0077,1.459,1.0195,1.2611,1.2611,0.0077,0.0317,0,0.2929,0,0.74048,0.0011
TiAl3,40,12,92.90638,26.981539,119.887919,3.443331383,5,3,47,73,-26,3.523,1.989,1.534,5.512,3.523,1.989,2.756,1.456,1.429,1.018894332,0.027,1.4425,2.03,1.64,0.39,1.237804878,2.03,1.64,1.835,8.57,2.7,5.87,3.174074074,8.57,2.7,5.635,7.57,3.39,4.18,2.233038348,7.57,3.39,5.48,4,4,4,4,4,4,4,4,1.0627,1.0627,1.0627,1.0627,8,8,8,8,1.4162,1.0014,1.4162,1.0319,0,0,0,2,4,4,4,2,2,2,2,1,2,2,6,3.838,2.7139,2.7139,1.4302,1.4319,0.9988,1.3418,0.9476,0.9482,1.3569,1.3569,-0.0512,-0.0524,0.2929,0,0,0.66215,0.0054
Cu3Au,67,81,167.259,207.2,374.459,0.807234556,6,6,35,81,-46,4.018,4.426,-0.408,8.444,4.426,4.018,4.222,1.748,1.746,1.001145475,0.002,1.747,1.2,1.92,-0.72,0.625,1.92,1.2,1.56,9.07,11.4,-2.33,0.795614035,11.4,9.07,10.235,3.29,2.03,1.26,1.620689655,3.29,2.03,2.66,12,12,12,12,12,12,12,12,1.4159,1.4159,1.4159,1.4159,6,6,6,6,1.4156,1.001,1.4156,1.001,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.799,3.3934,3.3934,1.6438,1.7253,0.9528,1.4597,0.9834,1.0072,1.6967,1.6967,0.0322,-0.0166,0.2929,0,0,0.74048,0.0013
Fe3C,76,38,192.217,88.90584,281.12284,2.162028951,6,5,60,12,48,4.908,3.379,1.529,8.287,4.908,3.379,4.1435,1.355,1.797,0.754034502,-0.442,1.576,1.87,1.41,0.46,1.326241135,1.87,1.41,1.64,22.4,4.47,17.93,5.011185682,22.4,4.47,13.435,6.94,4.37,2.57,1.588100686,6.94,4.37,5.655,1,1,1,1,2,6,2,6,1.0036,1.0036,1.0143,1.0036,1,3,1,3,1.271,1.5638,1.2351,1.5638,0,1,0,1,1,0,1,0,4,4,2,2,1,12,4,3.3576,4.3631,2.7888,1.6813,1.3542,1.2415,0.9985,1.611,0.9187,1.6788,1.11,-0.0015,-0.1803,0,0.4912,0,0.6141,0.0325
Cr3Si,76,21,192.217,47.867,240.084,4.015647523,6,4,60,43,17,4.908,2.833,2.075,7.741,4.908,2.833,3.8705,1.355,1.467,0.923653715,-0.112,1.411,1.87,1.86,0.01,1.005376344,1.87,1.86,1.865,22.4,4.54,17.86,4.933920705,22.4,4.54,13.47,6.94,4.85,2.09,1.430927835,6.94,4.85,5.895,2,12,2,12,2,12,2,12,1.12,1.5464,1.12,1.5464,4,8,4,8,1,1.5465,1,1.5465,2,12,2,12,0,0,0,0,6,2,1,1,1,6,2,2.5,4.3301,2.7951,1.4038,1.3542,1.0366,0.8904,1.5988,1.0134,1.25,1.5451,-0.1096,0.141,0,0.2864,0,0.63991,0.0319
Fe3C,27,12,58.6934,26.981539,85.674939,2.175316982,4,3,61,73,-12,2.996,1.989,1.007,4.985,2.996,1.989,2.4925,1.244,1.429,0.870538838,-0.185,1.3365,1.76,1.64,0.12,1.073170732,1.76,1.64,1.7,8.9,2.7,6.2,3.296296296,8.9,2.7,5.8,4.44,3.39,1.05,1.309734513,4.44,3.39,3.915,1,1,1,1,3,1,3,1,1.0364,1.1182,1.0364,1.103,2,1,2,1,1.7231,1.31,1.7231,1.2402,0,1,0,1,1,0,1,0,4,4,2,1,2,4,12,3.7908,2.6683,2.2028,1.2515,1.4319,0.874,1.5145,0.9317,0.8209,0.8686,1.3341,-0.306,-0.0683,0.5417,0,0,0.55591,0.0983
Cu3Au,78,28,196.96654,63.546,260.51254,3.099589903,6,4,66,64,2,4.938,3.013,1.925,7.951,4.938,3.013,3.9755,1.439,1.276,1.127742947,0.163,1.3575,1.19,1.08,0.11,1.101851852,1.19,1.08,1.135,19.3,8.96,10.34,2.154017857,19.3,8.96,14.13,3.81,3.49,0.32,1.091690544,3.81,3.49,3.65,12,12,12,12,12,12,12,12,1.4151,1.4151,1.4151,1.4151,6,6,6,6,1.0006,1.4151,1.0006,1.4151,8,12,8,12,4,0,4,0,3,1,1,1,1,3,1,2.6516,3.75,2.6516,1.2783,1.4425,0.8862,1.0372,1.2998,0.9746,1.3258,1.3258,0.0372,-0.0809,0,0.2929,0,0.74048,0.0079
TiAl3,71,30,178.49,69.723,248.213,2.559987379,6,4,45,74,-29,4.298,2.655,1.643,6.953,4.298,2.655,3.4765,1.585,1.408,1.125710227,0.177,1.4965,1.73,1.7,0.03,1.017647059,1.73,1.7,1.715,13.3,5.9,7.4,2.254237288,13.3,5.9,9.6,6.44,2.81,3.63,2.291814947,6.44,2.81,4.625,4,4,4,4,4,4,4,4,1.0876,1.0876,1.0876,1.0876,8,8,8,8,1.4164,1.0016,1.4164,1.0441,0,0,0,2,4,4,4,2,2,2,2,1,2,2,6,3.881,2.7443,2.7443,1.5679,1.2796,1.2253,1.2376,1.0723,0.9638,1.3721,1.3721,-0.1248,0.0723,0.2929,0,0,0.63636,0.0208
TiAl3,21,12,47.867,26.981539,74.848539,1.774064852,4,3,43,73,-30,2.833,1.989,0.844,4.822,2.833,1.989,2.411,1.467,1.429,1.026592022,0.038,1.448,1.86,1.64,0.22,1.134146341,1.86,1.64,1.75,4.54,2.7,1.84,1.681481481,4.54,2.7,3.62,4.85,3.39,1.46,1.430678466,4.85,3.39,4.12,4,4,4,4,4,4,4,4,1.0588,1.0588,1.0588,1.0588,8,8,8,8,1.4168,1.0018,1.4168,1.0311,0,0,0,2,4,4,4,2,2,2,2,1,2,2,6,3.8537,2.725,2.725,1.4038,1.4319,0.9804,1.3726,0.9515,0.961,1.3625,1.3625,-0.0294,-0.0485,0.2929,0,0,0.66486,0.0032
Mg3Cd,12,21,26.981539,47.867,74.848539,0.563677252,3,4,73,43,30,1.989,2.833,-0.844,4.822,2.833,1.989,2.411,1.429,1.467,0.974096796,-0.038,1.448,1.64,1.86,-0.22,0.88172043,1.86,1.64,1.75,2.7,4.54,-1.84,0.594713656,4.54,2.7,3.62,3.39,4.85,-1.46,0.698969072,4.85,3.39,4.12,4,6,4,6,12,12,12,12,1.0105,1.0175,1.0105,1.0175,4,6,4,6,1.0003,1.4291,1.0003,1.4291,2,6,2,6,2,0,2,0,6,2,1,1,1,6,2,2.8507,4.073,2.8482,1.4038,1.4319,0.9804,1.0154,1.4222,1.0044,1.4254,1.4228,0.0154,-0.0064,0,0.3013,0,0.71726,0.0003
Cu3Au,71,76,178.49,192.217,370.707,0.928585921,6,6,45,60,-15,4.298,4.908,-0.61,9.206,4.908,4.298,4.603,1.585,1.355,1.169741697,0.23,1.47,1.73,1.87,-0.14,0.92513369,1.87,1.73,1.8,13.3,22.4,-9.1,0.59375,22.4,13.3,17.85,6.44,6.94,-0.5,0.92795389,6.94,6.44,6.69,12,12,12,12,12,12,12,12,1.4173,1.4173,1.4173,1.4173,6,6,6,6,1.4155,1.0009,1.4155,1.0009,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,3.935,2.7825,2.7825,1.5679,1.3542,1.1578,1.2549,1.0273,0.9522,1.3912,1.3912,-0.1127,0.0273,0.2929,0,0,0.74048,0.0134
Cr3Si,44,40,102.9055,92.90638,195.81188,1.107625763,5,5,59,47,12,3.701,3.523,0.178,7.224,3.701,3.523,3.612,1.342,1.456,0.921703297,-0.114,1.399,1.99,2.03,-0.04,0.980295567,2.03,1.99,2.01,12.4,8.57,3.83,1.446907818,12.4,8.57,10.485,5.75,7.57,-1.82,0.759577279,7.57,5.75,6.66,2,12,2,12,2,12,2,12,1.1167,1.547,1.1167,1.547,4,8,4,8,0.9984,1.5485,0.9984,1.5485,2,12,2,12,0,0,0,0,6,2,1,1,1,6,2,2.5659,4.4442,2.8687,1.4302,1.3444,1.0638,0.897,1.6528,1.0339,1.2829,1.5858,-0.103,0.1795,0,0.2864,0,0.63991,0.0428
PuNi3,65,26,162.5,58.9332,221.4332,2.75735918,6,4,31,58,-27,3.963,3.046,0.917,7.009,3.963,3.046,3.5045,1.77,1.252,1.413738019,0.518,1.511,1.15,1.72,-0.57,0.668604651,1.72,1.15,1.435,8.55,8.9,-0.35,0.960674157,8.9,8.55,8.725,3.04,4.39,-1.35,0.692482916,4.39,3.04,3.715,6,6,6,3.3333,9,19,7.5,6.3333,1.0243,1.18,1.0675,1.0627,3,6,7.5,3.3333,1.0896,1.0006,1.1413,1,0,0,0,0,6,10,6,3.3333,3,3,2,2,3,9,27,3.1381,2.4791,2.8778,1.6634,1.2492,1.3316,0.9433,0.9923,0.988,1.6382,1.2396,-0.0151,-0.0077,-0.0441,0,0,0.72236,0.0003
PuNi3,59,27,144.242,58.6934,202.9354,2.457550593,6,4,19,61,-42,3.822,2.996,0.826,6.818,3.822,2.996,3.409,1.818,1.244,1.461414791,0.574,1.531,1.2,1.76,-0.56,0.681818182,1.76,1.2,1.48,7,8.9,-1.9,0.786516854,8.9,7,7.95,3.4,4.44,-1.04,0.765765766,4.44,3.4,3.92,6,6,6,3.3333,9,17,7.5,5.6667,1.0207,1.17,1.069,1.0593,3,6,7.5,5.3333,1.0882,0.9991,1.1465,1.001,0,0,0,0,6,10,6,3.3333,3,3,2,2,3,9,27,3.1558,2.5048,2.8965,1.6571,1.2515,1.3241,0.9522,1.0007,0.9958,1.6441,1.2524,-0.0078,0.0007,-0.042,0,0,0.72263,0.0001
Cu3Au,56,49,138.9055,118.71,257.6155,1.170124674,6,5,13,80,-67,3.84,3.672,0.168,7.512,3.84,3.672,3.756,1.871,1.62,1.154938272,0.251,1.7455,1.35,1.88,-0.53,0.718085106,1.88,1.35,1.615,6.15,7.31,-1.16,0.841313269,7.31,6.15,6.73,4.47,3.14,1.33,1.423566879,4.47,3.14,3.805,12,12,12,12,12,12,12,12,1.4142,1.4142,1.4142,1.4142,6,6,6,6,1.4145,1.0002,1.4145,1.0002,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.781,3.3807,3.3807,1.8186,1.4899,1.2206,1.3145,1.1345,1.0218,1.6903,1.6903,-0.0705,0.1345,0.2929,0,0,0.74048,0.0231
Cu3Au,57,45,140.115,106.42,246.535,1.316622815,6,5,15,62,-47,3.774,3.101,0.673,6.875,3.774,3.101,3.4375,1.818,1.373,1.324107793,0.445,1.5955,1.1,2.08,-0.98,0.528846154,2.08,1.1,1.59,6.66,12,-5.34,0.555,12,6.66,9.33,4.32,3.89,0.43,1.110539846,4.32,3.89,4.105,12,12,12,12,12,12,12,12,1.4144,1.4144,1.4144,1.4144,6,6,6,6,1.413,0.9992,1.413,0.9992,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.126,2.9175,2.9175,1.7238,1.3768,1.252,1.1968,1.0595,0.941,1.4588,1.4588,-0.1538,0.0595,0.2929,0,0,0.74048,0.0272
Mg3Cd,49,22,118.71,50.9415,169.6515,2.330320073,5,4,80,46,34,3.672,2.816,0.856,6.488,3.672,2.816,3.244,1.62,1.338,1.210762332,0.282,1.479,1.88,2.22,-0.34,0.846846847,2.22,1.88,2.05,7.31,6.11,1.2,1.196399345,7.31,6.11,6.71,3.14,5.31,-2.17,0.5913371,5.31,3.14,4.225,10,12,10,12,20,24,20,24,1.0142,1.0142,1.0142,1.0142,10,12,10,12,0.9982,1.4238,0.9982,1.4238,8,12,8,12,2,0,2,0,6,2,1,1,1,6,2,2.805,4.0009,2.805,1.3117,1.4899,0.8804,1.0692,1.3427,1.0012,1.4025,1.4026,0.0692,-0.0586,0,0.2989,0,0.72203,0.0082
PuNi3,57,26,140.115,58.9332,199.0482,2.377522347,6,4,15,58,-43,3.774,3.046,0.728,6.82,3.774,3.046,3.41,1.818,1.252,1.452076677,0.566,1.535,1.1,1.72,-0.62,0.639534884,1.72,1.1,1.41,6.66,8.9,-2.24,0.748314607,8.9,6.66,7.78,4.32,4.39,-0.07,0.98405467,4.39,4.32,4.355,6,6,6,4,9,19,7.5,6.3333,1.0243,1.1706,1.0712,1.0596,3,6,7.5,4,1.0903,0.9986,1.1493,1.0006,0,0,0,0,6,12,6,4,3,3,2,2,3,9,27,3.14,2.4937,2.8823,1.7238,1.2492,1.3799,0.9108,0.9981,0.9695,1.6354,1.2468,-0.0512,-0.0019,-0.0417,0,0,0.72267,0.0026
TiAl3,21,12,47.867,26.981539,74.848539,1.774064852,4,3,43,73,-30,2.833,1.989,0.844,4.822,2.833,1.989,2.411,1.467,1.429,1.026592022,0.038,1.448,1.86,1.64,0.22,1.134146341,1.86,1.64,1.75,4.54,2.7,1.84,1.681481481,4.54,2.7,3.62,4.85,3.39,1.46,1.430678466,4.85,3.39,4.12,4,4,4,4,4,4,4,4,1.0625,1.0625,1.0625,1.0625,8,8,8,8,1.4165,1.0016,1.4165,1.0312,0,0,0,2,4,4,4,2,2,2,2,1,2,2,6,3.853,2.7245,2.7245,1.4038,1.4319,0.9804,1.3724,0.9514,0.9608,1.3622,1.3622,-0.0296,-0.0486,0.2929,0,0,0.66412,0.0032
Cu3Au,25,45,55.847,106.42,162.267,0.524779177,4,5,55,62,-7,3.0478,3.101,-0.0532,6.1488,3.101,3.0478,3.0744,1.26,1.373,0.917698471,-0.113,1.3165,1.67,2.08,-0.41,0.802884615,2.08,1.67,1.875,7.86,12,-4.14,0.655,12,7.86,9.93,4.28,3.89,0.39,1.100257069,4.28,3.89,4.085,12,12,12,12,12,12,12,12,1.4154,1.4154,1.4154,1.4154,6,6,6,6,1.4154,1.0009,1.4154,1.0009,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,3.85,2.7224,2.7224,1.2422,1.3768,0.9022,1.5497,0.9886,1.0395,1.3612,1.3612,0.0958,-0.0114,0.2929,0,0,0.74048,0.0093
PuNi3,61,76,150.36,192.217,342.577,0.782240905,6,6,23,60,-37,3.847,4.908,-1.061,8.755,4.908,3.847,4.3775,1.85,1.355,1.365313653,0.495,1.6025,1.2,1.87,-0.67,0.64171123,1.87,1.2,1.535,7.52,22.4,-14.88,0.335714286,22.4,7.52,14.96,2.14,6.94,-4.8,0.308357349,6.94,2.14,4.54,6,6,6,3.3333,9,19,7.5,6.3333,1.0262,1.1767,1.0703,1.0614,3,6,7.5,4.6667,1.0918,1.0003,1.1459,0.9993,0,0,0,0,6,10,6,3.3333,3,3,2,2,3,9,27,3.3298,2.6366,3.0549,1.7165,1.3542,1.2675,0.9699,0.9735,0.9948,1.7366,1.3183,0.0117,-0.0265,-0.043,0,0,0.72248,0.0008
Cu3Au,58,45,140.90765,106.42,247.32765,1.324071133,6,5,17,62,-45,3.8,3.101,0.699,6.901,3.8,3.101,3.4505,1.824,1.373,1.328477786,0.451,1.5985,1.1,2.08,-0.98,0.528846154,2.08,1.1,1.59,6.77,12,-5.23,0.564166667,12,6.77,9.385,3.7,3.89,-0.19,0.951156812,3.89,3.7,3.795,12,12,12,12,12,12,12,12,1.413,1.413,1.413,1.413,6,6,6,6,1.4133,0.9994,1.4133,0.9994,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.141,2.9281,2.9281,1.6334,1.3768,1.1864,1.2676,1.0634,0.9727,1.4641,1.4641,-0.1037,0.0634,0.2929,0,0,0.74047,0.0148
Cu3Au,62,45,151.965,106.42,258.385,1.427974065,6,5,25,62,-37,3.871,3.101,0.77,6.972,3.871,3.101,3.486,2.084,1.373,1.517844137,0.711,1.7285,1.15,2.08,-0.93,0.552884615,2.08,1.15,1.615,5.24,12,-6.76,0.436666667,12,5.24,8.62,1.86,3.89,-2.03,0.4781491,3.89,1.86,2.875,12,12,12,12,12,12,12,12,1.4138,1.4138,1.4138,1.4138,6,6,6,6,1.4121,0.9985,1.4121,0.9985,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.0952,2.8957,2.8957,1.6846,1.3768,1.2236,1.2155,1.0516,0.9459,1.4479,1.4479,-0.1405,0.0516,0.2929,0,0,0.74048,0.0224
