Class,index_A,index_B,index_A_norm,index_B_norm,index_max,index_min,index_avg,atomic_weight_A+B_weighted,atomic_weight_A/B,atomic_weight_A-B,period_A,period_B,group_A,group_B,group_A-B,Mendeleev_number_A,Mendeleev_number_B,Mendeleev_number_A-B,valencee_total_A,valencee_total_B,valencee_total_A-B,valencee_total_A+B,valencee_total_A+B_weighted,valencee_total_A+B_weighted_norm,unpaired_electrons_A,unpaired_electrons_B,unpaired_electrons_A-B,unpaired_electrons_A+B,unpaired_electrons_A+B_weighted,unpaired_electrons_A+B_weighted_norm,Gilman_A,Gilman_B,Gilman_A-B,Gilman_A+B,Gilman_A+B_weighted,Gilman_A+B_weighted_norm,Z_eff_A,Z_eff_B,Z_eff_A-B,Z_eff_A/B,Z_eff_max,Z_eff_min,Z_eff_avg,Z_eff_A+B_weighted_norm,ionization_energy_A,ionization_energy_B,ionization_energy_A-B,ionization_energy_A/B,ionization_energy_max,ionization_energy_min,ionization_energy_avg,ionization_energy_A+B_weighted_norm,coordination_number_A,coordination_number_B,coordination_number_A-B,ratio_closest_A,ratio_closest_B,ratio_closest_max,ratio_closest_min,ratio_closest_avg,polyhedron_distortion_A,polyhedron_distortion_B,polyhedron_distortion_max,polyhedron_distortion_min,polyhedron_distortion_avg,CIF_radius_A,CIF_radius_B,CIF_radius_A-B,CIF_radius_A/B,CIF_radius_avg,CIF_radius_A+B_weighted_norm,Pauling_radius_CN12_A,Pauling_radius_CN12_B,Pauling_radius_CN12_A-B,Pauling_radius_CN12_A/B,Pauling_radius_CN12_avg,Pauling_radius_CN12_A+B_weighted_norm,Pauling_EN_A,Pauling_EN_B,Pauling_EN_A-B,Pauling_EN_A/B,Pauling_EN_max,Pauling_EN_min,Pauling_EN_avg,Pauling_EN_A+B_weighted_norm,Martynov_Batsanov_EN_A,Martynov_Batsanov_EN_B,Martynov_Batsanov_EN_A-B,Martynov_Batsanov_EN_A/B,Martynov_Batsanov_EN_max,Martynov_Batsanov_EN_min,Martynov_Batsanov_EN_avg,Martynov_Batsanov_EN_A+B_weighted_norm,melting_point_K_A,melting_point_K_B,melting_point_K_A-B,melting_point_K_A/B,melting_point_K_max,melting_point_K_min,melting_point_K_avg,melting_point_K_A+B_weighted_norm,density_A,density_B,density_A-B,density_A/B,density_max,density_min,density_avg,density_A+B_weighted_norm,specific_heat_A,specific_heat_B,specific_heat_A-B,specific_heat_A/B,specific_heat_max,specific_heat_min,specific_heat_avg,specific_heat_A+B_weighted_norm,cohesive_energy_A,cohesive_energy_B,cohesive_energy_A-B,cohesive_energy_A/B,cohesive_energy_max,cohesive_energy_min,cohesive_energy_avg,cohesive_energy_A+B_weighted_norm,bulk_modulus_A,bulk_modulus_B,bulk_modulus_A-B,bulk_modulus_A/B,bulk_modulus_max,bulk_modulus_min,bulk_modulus_avg,bulk_modulus_A+B_weighted_norm
NaCl,1,1,0.5,0.5,1,1,1,56.371,0.75796794,-7.761,3,3,2,16,-14,68,88,-20,2,6,-4,8,8,4,0,2,-2,2,2,1,2,6,-4,8,8,4,2.248,2.617,-0.369,0.85899885,2.617,2.248,2.4325,2.4325,7.6462,10.36,-2.7138,0.73805019,10.36,7.6462,9.0031,9.0031,12,2,10,0.41666667,0.5,0.5,0.41666667,0.45833333,0.995,0.99853516,0.99853516,0.995,0.99676758,1.587,1.074,0.513,1.47765363,1.3305,1.3305,1.598,1.27,0.328,1.25826772,1.434,1.3305,1.31,2.58,-1.27,0.50775194,2.58,1.31,1.945,1.945,1.31,2.65,-1.34,0.49433962,2.65,1.31,1.98,1.98,922.15,385.95,536.2,2.38929913,922.15,385.95,654.05,654.05,1.74,2.07,-0.33,0.84057971,2.07,1.74,1.905,1.905,1.02,0.71,0.31,1.43661972,1.02,0.71,0.865,0.865,1.51,2.85,-1.34,0.52982456,2.85,1.51,2.18,2.18,35.6,7.7,27.9,4.62337662,35.6,7.7,21.65,21.65
NaCl,1,1,0.5,0.5,1,1,1,103.276,0.30777121,-54.666,3,4,2,16,-14,68,89,-21,2,16,-14,18,18,9,0,2,-2,2,2,1,2,6,-4,8,8,4,2.248,3.385,-1.137,0.66410635,3.385,2.248,2.8165,2.8165,7.6462,9.7524,-2.1062,0.78403265,9.7524,7.6462,8.6993,8.6993,12,2,10,0.41666667,1,1,0.41666667,0.70833333,0.995,1,1,0.995,0.9975,1.587,1.237,0.35,1.2829426,1.412,1.412,1.598,1.4,0.198,1.14142857,1.499,1.412,1.31,2.55,-1.24,0.51372549,2.55,1.31,1.93,1.93,1.31,2.54,-1.23,0.51574803,2.54,1.31,1.925,1.925,922.15,490.15,432,1.88136285,922.15,490.15,706.15,706.15,1.74,4.79,-3.05,0.36325678,4.79,1.74,3.265,3.265,1.02,0.32,0.7,3.1875,1.02,0.32,0.67,0.67,1.51,2.46,-0.95,0.61382114,2.46,1.51,1.985,1.985,35.6,8.3,27.3,4.28915663,35.6,8.3,21.95,21.95
NaCl,1,1,0.5,0.5,1,1,1,87.00405,1.71328042,22.87205,4,3,7,16,-9,52,88,-36,7,6,1,13,13,6.5,5,2,3,7,7,3.5,5,6,-1,11,11,5.5,2.956,2.617,0.339,1.12953764,2.956,2.617,2.7865,2.7865,7.434,10.36,-2.926,0.71756757,10.36,7.434,8.897,8.897,12,2,10,0.08333333,0.5,0.5,0.08333333,0.29166667,0.961,0.99853516,0.99853516,0.961,0.97976758,1.164,1.074,0.09,1.08379888,1.119,1.119,1.306,1.27,0.036,1.02834646,1.288,1.119,1.55,2.58,-1.03,0.60077519,2.58,1.55,2.065,2.065,2.04,2.65,-0.61,0.76981132,2.65,2.04,2.345,2.345,1517.15,385.95,1131.2,3.9309496,1517.15,385.95,951.55,951.55,7.43,2.07,5.36,3.58937198,7.43,2.07,4.75,4.75,0.48,0.71,-0.23,0.67605634,0.71,0.48,0.595,0.595,2.92,2.85,0.07,1.0245614,2.92,2.85,2.885,2.885,92.6,7.7,84.9,12.025974,92.6,7.7,50.15,50.15
NaCl,1,1,0.5,0.5,1,1,1,133.90905,0.69567373,-24.03295,4,4,7,16,-9,52,89,-37,7,16,-9,23,23,11.5,5,2,3,7,7,3.5,5,6,-1,11,11,5.5,2.956,3.385,-0.429,0.8732644,3.385,2.956,3.1705,3.1705,7.434,9.7524,-2.3184,0.7622739,9.7524,7.434,8.5932,8.5932,12,2,10,0.08333333,1,1,0.08333333,0.54166667,0.961,1,1,0.961,0.9805,1.164,1.237,-0.073,0.94098626,1.2005,1.2005,1.306,1.4,-0.094,0.93285714,1.353,1.2005,1.55,2.55,-1,0.60784314,2.55,1.55,2.05,2.05,2.04,2.54,-0.5,0.80314961,2.54,2.04,2.29,2.29,1517.15,490.15,1027,3.09527696,1517.15,490.15,1003.65,1003.65,7.43,4.79,2.64,1.55114823,7.43,4.79,6.11,6.11,0.48,0.32,0.16,1.5,0.48,0.32,0.4,0.4,2.92,2.46,0.46,1.18699187,2.92,2.46,2.69,2.69,92.6,8.3,84.3,11.1566265,92.6,8.3,50.45,50.45
NaCl,1,1,0.5,0.5,1,1,1,239.266,6.4616728,175.134,6,3,14,16,-2,81,88,-7,28,6,22,34,34,17,2,2,0,4,4,2,4,6,-2,10,10,5,4.426,2.617,1.809,1.69124952,4.426,2.617,3.5215,3.5215,7.4167,10.36,-2.9433,0.71589768,10.36,7.4167,8.88835,8.88835,12,2,10,1,0.5,1,0.5,0.75,1,0.99853516,1,0.99853516,0.99926758,1.725,1.074,0.651,1.60614525,1.3995,1.3995,1.746,1.27,0.476,1.37480315,1.508,1.3995,1.87,2.58,-0.71,0.7248062,2.58,1.87,2.225,2.225,1.92,2.65,-0.73,0.7245283,2.65,1.92,2.285,2.285,600.65,385.95,214.7,1.55628967,600.65,385.95,493.3,493.3,11.4,2.07,9.33,5.50724638,11.4,2.07,6.735,6.735,0.13,0.71,-0.58,0.18309859,0.71,0.13,0.42,0.42,2.03,2.85,-0.82,0.7122807,2.85,2.03,2.44,2.44,45.8,7.7,38.1,5.94805195,45.8,7.7,26.75,26.75
NaCl,1,1,0.5,0.5,1,1,1,286.171,2.62374796,128.229,6,4,14,16,-2,81,89,-8,28,16,12,44,44,22,2,2,0,4,4,2,4,6,-2,10,10,5,4.426,3.385,1.041,1.30753323,4.426,3.385,3.9055,3.9055,7.4167,9.7524,-2.3357,0.76049998,9.7524,7.4167,8.58455,8.58455,12,2,10,1,1,1,1,1,1,1,1,1,1,1.725,1.237,0.488,1.39450283,1.481,1.481,1.746,1.4,0.346,1.24714286,1.573,1.481,1.87,2.55,-0.68,0.73333333,2.55,1.87,2.21,2.21,1.92,2.54,-0.62,0.75590551,2.54,1.92,2.23,2.23,600.65,490.15,110.5,1.22544119,600.65,490.15,545.4,545.4,11.4,4.79,6.61,2.37995825,11.4,4.79,8.095,8.095,0.13,0.32,-0.19,0.40625,0.32,0.13,0.225,0.225,2.03,2.46,-0.43,0.82520325,2.46,2.03,2.245,2.245,45.8,8.3,37.5,5.51807229,45.8,8.3,27.05,27.05
NaCl,1,1,0.5,0.5,1,1,1,334.8,1.62382445,79.6,6,5,14,16,-2,81,90,-9,28,16,12,44,44,22,2,2,0,4,4,2,4,6,-2,10,10,5,4.426,4.067,0.359,1.08827145,4.426,4.067,4.2465,4.2465,7.4167,9.0096,-1.5929,0.8231997,9.0096,7.4167,8.21315,8.21315,12,2,10,1,1,1,1,1,1,1,1,1,1,1.725,1.417,0.308,1.21736062,1.571,1.571,1.746,1.6,0.146,1.09125,1.673,1.571,1.87,2.1,-0.23,0.89047619,2.1,1.87,1.985,1.985,1.92,2.38,-0.46,0.80672269,2.38,1.92,2.15,2.15,600.65,722.65,-122,0.83117692,722.65,600.65,661.65,661.65,11.4,6.24,5.16,1.82692308,11.4,6.24,8.82,8.82,0.13,0.2,-0.07,0.65,0.2,0.13,0.165,0.165,2.03,2.19,-0.16,0.92694064,2.19,2.03,2.11,2.11,45.8,65,-19.2,0.70461538,65,45.8,55.4,55.4
NaCl,1,1,0.5,0.5,1,1,1,119.686,2.73248924,55.554,5,3,2,16,-14,8,88,-80,2,6,-4,8,8,4,0,2,-2,2,2,1,2,6,-4,8,8,4,3.234,2.617,0.617,1.23576614,3.234,2.617,2.9255,2.9255,5.6949,10.36,-4.6651,0.54970077,10.36,5.6949,8.02745,8.02745,12,2,10,1,0.5,1,0.5,0.75,1,0.99853516,1,0.99853516,0.99926758,1.417,1.074,0.343,1.31936685,1.2455,1.2455,2.148,1.27,0.878,1.69133858,1.709,1.2455,0.95,2.58,-1.63,0.36821705,2.58,0.95,1.765,1.765,1.13,2.65,-1.52,0.42641509,2.65,1.13,1.89,1.89,1042.15,385.95,656.2,2.70022024,1042.15,385.95,714.05,714.05,2.63,2.07,0.56,1.2705314,2.63,2.07,2.35,2.35,0.3,0.71,-0.41,0.42253521,0.71,0.3,0.505,0.505,1.72,2.85,-1.13,0.60350877,2.85,1.72,2.285,2.285,12,7.7,4.3,1.55844156,12,7.7,9.85,9.85
NaCl,1,1,0.5,0.5,1,1,1,246.31,0.93032915,-8.89,5,5,14,16,-2,80,90,-10,14,16,-2,30,30,15,2,2,0,4,4,2,4,6,-2,10,10,5,3.672,4.067,-0.395,0.90287681,4.067,3.672,3.8695,3.8695,7.3439,9.0096,-1.6657,0.81511943,9.0096,7.3439,8.17675,8.17675,6,2,4,0.66666667,1,1,0.66666667,0.83333333,0.949,1,1,0.949,0.9745,1.511,1.417,0.094,1.06633733,1.464,1.464,1.62,1.6,0.02,1.0125,1.61,1.464,1.96,2.1,-0.14,0.93333333,2.1,1.96,2.03,2.03,1.88,2.38,-0.5,0.78991597,2.38,1.88,2.13,2.13,505.15,722.65,-217.5,0.69902442,722.65,505.15,613.9,613.9,7.31,6.24,1.07,1.17147436,7.31,6.24,6.775,6.775,0.227,0.2,0.027,1.135,0.227,0.2,0.2135,0.2135,3.14,2.19,0.95,1.43378995,3.14,2.19,2.665,2.665,58.2,65,-6.8,0.89538462,65,58.2,61.6,61.6
NaCl,1,1,0.5,0.5,1,1,1,215.22,0.68667712,-39.98,5,5,2,16,-14,8,90,-82,2,16,-14,18,18,9,0,2,-2,2,2,1,2,6,-4,8,8,4,3.234,4.067,-0.833,0.79518072,4.067,3.234,3.6505,3.6505,5.6949,9.0096,-3.3147,0.63209243,9.0096,5.6949,7.35225,7.35225,12,2,10,1,1,1,1,1,1,1,1,1,1,1.417,1.417,0,1,1.417,1.417,2.148,1.6,0.548,1.3425,1.874,1.417,0.95,2.1,-1.15,0.45238095,2.1,0.95,1.525,1.525,1.13,2.38,-1.25,0.47478992,2.38,1.13,1.755,1.755,1042.15,722.65,319.5,1.44212274,1042.15,722.65,882.4,882.4,2.63,6.24,-3.61,0.42147436,6.24,2.63,4.435,4.435,0.3,0.2,0.1,1.5,0.3,0.2,0.25,0.25,1.72,2.19,-0.47,0.78538813,2.19,1.72,1.955,1.955,12,65,-53,0.18461538,65,12,38.5,38.5
